,subject,ts_CAPS,Unnamed: 0,iteration,pearson_r
0,sub-01,tsCAP1,36.0,5.5,0.6090865306546795
1,sub-01,tsCAP2,37.0,5.5,0.5750848370983204
2,sub-01,tsCAP3,38.0,5.5,0.40922823958554605
3,sub-01,tsCAP4,39.0,5.5,0.37366766306227966
4,sub-01,tsCAP5,40.0,5.5,0.4281422069943933
5,sub-01,tsCAP6,41.0,5.5,0.4360885286454065
6,sub-01,tsCAP7,42.0,5.5,0.1214112413315241
7,sub-01,tsCAP8,43.0,5.5,0.1452227783752726
8,sub-02,tsCAP1,116.0,5.5,0.36812181470341304
9,sub-02,tsCAP2,117.0,5.5,0.36865944049602206
10,sub-02,tsCAP3,118.0,5.5,0.45068032445505457
11,sub-02,tsCAP4,119.0,5.5,0.4325286834107983
12,sub-02,tsCAP5,120.0,5.5,0.3101516213525906
13,sub-02,tsCAP6,121.0,5.5,0.32305745093076693
14,sub-02,tsCAP7,122.0,5.5,-0.058990247051639556
15,sub-02,tsCAP8,123.0,5.5,-0.06709830715895594
16,sub-03,tsCAP1,196.0,5.5,0.9577175546157164
17,sub-03,tsCAP2,197.0,5.5,0.9292155474506314
18,sub-03,tsCAP3,198.0,5.5,0.19883557334313723
19,sub-03,tsCAP4,199.0,5.5,0.09302020953831404
20,sub-03,tsCAP5,200.0,5.5,0.5853127654005296
21,sub-03,tsCAP6,201.0,5.5,0.38681837346247666
22,sub-03,tsCAP7,202.0,5.5,-0.5557713946611104
23,sub-03,tsCAP8,203.0,5.5,-0.6668343655122888
24,sub-05,tsCAP1,276.0,5.5,0.02312793899892335
25,sub-05,tsCAP2,277.0,5.5,-0.038434618946044406
26,sub-05,tsCAP3,278.0,5.5,0.007397489342212832
27,sub-05,tsCAP4,279.0,5.5,-0.0016717561372058376
28,sub-05,tsCAP5,280.0,5.5,-0.3160538944925928
29,sub-05,tsCAP6,281.0,5.5,-0.3551056455300773
30,sub-05,tsCAP7,282.0,5.5,0.03769542886241485
31,sub-05,tsCAP8,283.0,5.5,0.024510732653266448
32,sub-06,tsCAP1,392.5,5.5,0.3419641234099925
33,sub-06,tsCAP2,394.5,5.5,0.33266906232080745
34,sub-06,tsCAP3,396.5,5.5,0.05927335113422243
35,sub-06,tsCAP4,398.5,5.5,0.06380264865347192
36,sub-06,tsCAP5,400.5,5.5,0.1433966662790461
37,sub-06,tsCAP6,402.5,5.5,0.15046592257956654
38,sub-06,tsCAP7,404.5,5.5,0.10118684329355725
39,sub-06,tsCAP8,406.5,5.5,0.11138908417635625
40,sub-07,tsCAP1,552.5,5.5,0.2209241666883725
41,sub-07,tsCAP2,554.5,5.5,0.24805519455852743
42,sub-07,tsCAP3,556.5,5.5,0.34965595786898046
43,sub-07,tsCAP4,558.5,5.5,0.3157410510206428
44,sub-07,tsCAP5,560.5,5.5,0.0954196754794027
45,sub-07,tsCAP6,562.5,5.5,0.09588885050116056
46,sub-07,tsCAP7,564.5,5.5,0.11025480879587075
47,sub-07,tsCAP8,566.5,5.5,0.1197917124773491
48,sub-08,tsCAP1,712.5,5.5,0.18628357899735914
49,sub-08,tsCAP2,714.5,5.5,0.16628846568490582
50,sub-08,tsCAP3,716.5,5.5,0.3918249073904162
51,sub-08,tsCAP4,718.5,5.5,0.35741203400855215
52,sub-08,tsCAP5,720.5,5.5,0.15312571134449052
53,sub-08,tsCAP6,722.5,5.5,0.15949238158869555
54,sub-08,tsCAP7,724.5,5.5,0.033446004772491815
55,sub-08,tsCAP8,726.5,5.5,0.029335180033211217
56,sub-09,tsCAP1,836.0,5.5,0.3737400662850262
57,sub-09,tsCAP2,837.0,5.5,0.21369069731225707
58,sub-09,tsCAP3,838.0,5.5,-0.03614226581361593
59,sub-09,tsCAP4,839.0,5.5,-0.0970125322301825
60,sub-09,tsCAP5,840.0,5.5,-0.03696083107767247
61,sub-09,tsCAP6,841.0,5.5,-0.06507226589414868
62,sub-09,tsCAP7,842.0,5.5,-0.028558452855171206
63,sub-09,tsCAP8,843.0,5.5,-0.000492976411461471
64,sub-11,tsCAP1,952.5,5.5,0.2807115473232663
65,sub-11,tsCAP2,954.5,5.5,0.21834347599361972
66,sub-11,tsCAP3,956.5,5.5,0.141627871552512
67,sub-11,tsCAP4,958.5,5.5,0.09470643276494198
68,sub-11,tsCAP5,960.5,5.5,0.167803137540878
69,sub-11,tsCAP6,962.5,5.5,0.1663094192062097
70,sub-11,tsCAP7,964.5,5.5,0.07504737587297242
71,sub-11,tsCAP8,966.5,5.5,0.13541517973671932
72,sub-12,tsCAP1,1112.5,5.5,0.18991712146213519
73,sub-12,tsCAP2,1114.5,5.5,0.1541372678347065
74,sub-12,tsCAP3,1116.5,5.5,0.10124800136732151
75,sub-12,tsCAP4,1118.5,5.5,0.08174991426300596
76,sub-12,tsCAP5,1120.5,5.5,-0.02120356745518629
77,sub-12,tsCAP6,1122.5,5.5,0.001230725471844004
78,sub-12,tsCAP7,1124.5,5.5,0.26236254035126333
79,sub-12,tsCAP8,1126.5,5.5,0.24358798265315226
80,sub-13,tsCAP1,1272.5,5.5,0.5042254960334356
81,sub-13,tsCAP2,1274.5,5.5,0.4733429206046368
82,sub-13,tsCAP3,1276.5,5.5,0.32815075994997883
83,sub-13,tsCAP4,1278.5,5.5,0.26344983850346265
84,sub-13,tsCAP5,1280.5,5.5,0.4616880301169842
85,sub-13,tsCAP6,1282.5,5.5,0.4706905874315804
86,sub-13,tsCAP7,1284.5,5.5,0.2726216373416871
87,sub-13,tsCAP8,1286.5,5.5,0.30368797131689296
88,sub-14,tsCAP1,1432.5,5.5,0.36618404670959864
89,sub-14,tsCAP2,1434.5,5.5,0.406413284497299
90,sub-14,tsCAP3,1436.5,5.5,0.5880187962069519
91,sub-14,tsCAP4,1438.5,5.5,0.5470509426157539
92,sub-14,tsCAP5,1440.5,5.5,-0.17280412138230178
93,sub-14,tsCAP6,1442.5,5.5,-0.17229541447013305
94,sub-14,tsCAP7,1444.5,5.5,-0.0272955132822316
95,sub-14,tsCAP8,1446.5,5.5,-0.054532710179915164
96,sub-15,tsCAP1,1592.5,5.5,-0.25589349060293587
97,sub-15,tsCAP2,1594.5,5.5,-0.2900338685642581
98,sub-15,tsCAP3,1596.5,5.5,0.23670959606456687
99,sub-15,tsCAP4,1598.5,5.5,0.21069161334350187
100,sub-15,tsCAP5,1600.5,5.5,0.11394551172370884
101,sub-15,tsCAP6,1602.5,5.5,0.10141513388017795
102,sub-15,tsCAP7,1604.5,5.5,0.19170190921611135
103,sub-15,tsCAP8,1606.5,5.5,0.16108699868567986
104,sub-16,tsCAP1,1716.0,5.5,0.3722901909232864
105,sub-16,tsCAP2,1717.0,5.5,0.39052870950191076
106,sub-16,tsCAP3,1718.0,5.5,0.461979758883211
107,sub-16,tsCAP4,1719.0,5.5,0.4359897560462831
108,sub-16,tsCAP5,1720.0,5.5,-0.22339646183607945
109,sub-16,tsCAP6,1721.0,5.5,-0.23123560371405144
110,sub-16,tsCAP7,1722.0,5.5,-0.21928225623755968
111,sub-16,tsCAP8,1723.0,5.5,-0.18538765007385635
112,sub-18,tsCAP1,1796.0,5.5,0.3033557127663594
113,sub-18,tsCAP2,1797.0,5.5,0.3338719927686517
114,sub-18,tsCAP3,1798.0,5.5,0.3368852683220001
115,sub-18,tsCAP4,1799.0,5.5,0.2997342796158592
116,sub-18,tsCAP5,1800.0,5.5,0.48068756534319307
117,sub-18,tsCAP6,1801.0,5.5,0.4863523283543098
118,sub-18,tsCAP7,1802.0,5.5,0.2931197809881255
119,sub-18,tsCAP8,1803.0,5.5,0.2272367121998359
120,sub-20,tsCAP1,1912.5,5.5,0.4907936413196598
121,sub-20,tsCAP2,1914.5,5.5,0.4895834621094881
122,sub-20,tsCAP3,1916.5,5.5,0.5624119522651575
123,sub-20,tsCAP4,1918.5,5.5,0.5126441286375628
124,sub-20,tsCAP5,1920.5,5.5,-0.09168556419921667
125,sub-20,tsCAP6,1922.5,5.5,-0.11463577699069624
126,sub-20,tsCAP7,1924.5,5.5,-0.1558831274244705
127,sub-20,tsCAP8,1926.5,5.5,-0.1965602581882841
128,sub-21,tsCAP1,2036.0,5.5,0.32589522915838387
129,sub-21,tsCAP2,2037.0,5.5,0.37373340304296626
130,sub-21,tsCAP3,2038.0,5.5,0.6671353886476321
131,sub-21,tsCAP4,2039.0,5.5,0.6315130252637045
132,sub-21,tsCAP5,2040.0,5.5,0.22762714236148432
133,sub-21,tsCAP6,2041.0,5.5,0.22134511476461732
134,sub-21,tsCAP7,2042.0,5.5,0.05987166420782464
135,sub-21,tsCAP8,2043.0,5.5,0.050792738994538233
136,sub-22,tsCAP1,2152.5,5.5,0.22654098607171366
137,sub-22,tsCAP2,2154.5,5.5,0.12877845592871545
138,sub-22,tsCAP3,2156.5,5.5,0.1954413745707682
139,sub-22,tsCAP4,2158.5,5.5,0.15274102010412396
140,sub-22,tsCAP5,2160.5,5.5,0.03831120631666331
141,sub-22,tsCAP6,2162.5,5.5,-0.011611049787757613
142,sub-22,tsCAP7,2164.5,5.5,0.10544781866603607
143,sub-22,tsCAP8,2166.5,5.5,0.11466348558043474
